author,brand,description,image,price,title,url
SSENSE,Raf Simons,"Satin pouch in black. Adjustable shoulder strap featuring press-release fastening. Textile logo patch at shoulder strap. Zippered compartments and foldover flap with press-stud fastening at face. Graphic printed in black and yellow at back face. Zip closure at main compartment. Tonal textile lining. Tonal and gunmetal-tone hardware. Tonal stitching. Approx. 12.5 length x 9 height x 2.5 width.

Part of the Raf Simons x Eastpak collaboration.","https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_south,h_706,w_470/c_scale,h_480/v550/191287M171001_1.jpg,243,328",£95 GBP,Black & Yellow Eastpak Edition Poster Waistbag,https://www.ssense.com/en-gb/en-gb/men/product/raf-simons/black-and-yellow-eastpak-edition-poster-waistbag/3523559
SSENSE,Raf Simons,"Satin backpack in black. Webbing carry handle at top. Twin adjustable padded shoulder straps with cinch fastening. Zippered compartment at face. Logo patch at side. Graphic printed in black and blue at back face. Two-way zip closure at main compartment. Zippered pocket and padded laptop compartment with Velcro tab at interior. Tonal textile lining. Tonal and gunmetal-tone hardware. Tonal stitching. Approx. 15.5 length x 21.5 height x 5.5 width.

Part of the Raf Simons x Eastpak collaboration.","https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_south,h_706,w_470/c_scale,h_480/v550/191287M166003_1.jpg,243,328",£185 GBP,Black & Blue Eastpak Edition Poster Backpack,https://www.ssense.com/en-gb/en-gb/men/product/raf-simons/black-and-blue-eastpak-edition-poster-backpack/3523549
SSENSE,Raf Simons,"Slim satin tote in black. Tonal twin canvas and webbing carry handles at top. Two zippered compartments, three zippered flap compartments with magnetic press-stud fastening, and textile logo patch at face. Graphic printed in blue and black at back face. Zip closure featuring tonal webbing trim at main compartment. Padded patch pocket with Velcro tab fastening at interior. Tonal textile lining. Gunmetal-tone hardware. Tonal stitching. 32.5 length x 22.5 height. 

Part of the Raf Simons x Eastpak collaboration.","https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_south,h_706,w_470/c_scale,h_480/v550/191287M172002_1.jpg,243,328",£205 GBP,Black & Blue Eastpak Edition Poster Tote,https://www.ssense.com/en-gb/en-gb/men/product/raf-simons/black-and-blue-eastpak-edition-poster-tote/3523519
SSENSE,Raf Simons,"Cotton canvas and satin backpack in black. Webbing carry handle at top. Twin adjustable padded shoulder straps with cinch fastening. Zippered pockets, flap pockets with magnetic press-stud fastening, tonal webbing trim, and logo patch at face. Graphic printed in white and black at back face. Zip closure at main compartment. Padded laptop compartment with Velcro tab at interior. Gunmetal-tone hardware. Tonal stitching. Approx. 20 length x 29.5 height x 2.5 width. 

Part of the Raf Simons x Eastpak collaboration.","https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_south,h_706,w_470/c_scale,h_480/v550/191287M166001_1.jpg,243,328",£280 GBP,Black & White Eastpak Edition Poster Backpack,https://www.ssense.com/en-gb/en-gb/men/product/raf-simons/black-and-white-eastpak-edition-poster-backpack/3523529
SSENSE,Raf Simons,"Woven cotton and satin pouch in black. Adjustable shoulder strap featuring press-release fastening. Textile logo patch at shoulder strap. Zippered compartments and foldover flap with press-stud fastening at face. Graphic printed in black and blue at back face. Zip closure at main compartment. Tonal textile lining. Tonal and gunmetal-tone hardware. Tonal stitching. Approx. 12.5 length x 9 height x 2.5 width.

Part of the Raf Simons x Eastpak collaboration.","https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_south,h_706,w_470/c_scale,h_480/v550/191287M171002_1.jpg,243,328",£110 GBP,Black & Blue Eastpak Edition Poster Waistbag,https://www.ssense.com/en-gb/en-gb/men/product/raf-simons/black-and-blue-eastpak-edition-poster-waistbag/3523569
SSENSE,Raf Simons,"Satin backpack in silver-tone. Carry handle in black at top. Adjustable shoulder straps in black. Zippered compartment at face. Textile logo patch in black at side. Printed graphic in black and white at back face. Two-way zip closure at main compartment. Patch pocket with Velcro webbing strap and zippered pocket at interior. Textile lining in black. Tonal hardware. Tonal stitching. Approx. 16 length x 22 height x 7.5 width.

Part of the Raf Simons x Eastpak collaboration.","https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_south,h_706,w_470/c_scale,h_480/v550/191287M166002_1.jpg,243,328",£185 GBP,Silver Eastpak Edition Poster Backpack,https://www.ssense.com/en-gb/en-gb/men/product/raf-simons/silver-eastpak-edition-poster-backpack/3523539
SSENSE,Raf Simons,"Satin backpack in black. Webbing carry handle at top. Twin adjustable padded shoulder straps with cinch fastening. Zippered pockets, flap pockets with magnetic press-stud fastening, tonal webbing trim, and logo patch at face. Graphic printed in pink and black at back face. Zip closure at main compartment. Padded laptop compartment with Velcro tab at interior. Gunmetal-tone hardware. Tonal stitching. Approx. 20 length x 29.5 height x 2.5 width. 

Part of the Raf Simons x Eastpak collaboration.","https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_south,h_706,w_470/c_scale,h_480/v550/191287M166004_1.jpg,243,328",£205 GBP,Black & Pink Eastpak Edition Poster Backpack,https://www.ssense.com/en-gb/en-gb/men/product/raf-simons/black-and-pink-eastpak-edition-poster-backpack/3523579
SSENSE,Raf Simons,"Slim satin tote in silver-tone. Twin canvas and webbing carry handles in black at top. Two zippered compartments, three zippered flap compartments with magnetic press-stud fastening, and textile logo patch at face. Graphic printed in black at back face. Zip closure featuring tonal webbing trim at main compartment. Padded patch pocket with Velcro tab fastening at interior. Textile lining in black. Silver-tone hardware. Tonal stitching. 32.5 length x 22.5 height. 

Part of the Raf Simons x Eastpak collaboration.","https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_south,h_706,w_470/c_scale,h_480/v550/191287M172001_1.jpg,243,328",£205 GBP,Silver & Black Eastpak Edition Poster Tote,https://www.ssense.com/en-gb/en-gb/men/product/raf-simons/silver-and-black-eastpak-edition-poster-tote/3523509
SSENSE,Raf Simons,"Woven cotton and satin backpack in black. Carry handle at top. Adjustable shoulder straps. Zippered compartment at face. Textile logo patch at side. Printed graphic in black and white at back face. Two-way zip closure at main compartment. Patch pocket with Velcro webbing strap and zippered pocket at interior. Tonal textile lining. Gunmetal-tone hardware. Tonal stitching. Approx. 16 length x 22 height x 7.5 width.

Part of the Raf Simons x Eastpak collaboration.","https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_south,h_706,w_470/c_scale,h_480/v550/191287M166005_1.jpg,243,328",£185 GBP,Black & White Eastpak Edition Poster Backpack,https://www.ssense.com/en-gb/en-gb/men/product/raf-simons/black-and-white-eastpak-edition-poster-backpack/3541919
SSENSE,Raf Simons,"High-top rubber sneakers in black. Round cap toe in red. Tonal lace-up closure. Textile logo and graphic appliqués at outer side. Pull-loop at heel. Red rubberized trim at welt. Rubberized embossed logo at heel. Tonal canvas lining. Treaded rubber sole in red. Tonal hardware. Tonal stitching.

Part of the Raf Simons x adidas Originals collaboration.","https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_south,h_706,w_470/c_scale,h_480/v550/191287M236001_1.jpg,243,328",£430 GBP,Black & Red adidas Originals Edition Detroit High Sneakers,https://www.ssense.com/en-gb/en-gb/men/product/raf-simons/black-and-red-adidas-originals-edition-detroit-high-sneakers/3523309
